Tarih/Saat,Olay Turu,Olay Durumu,Olaya Mesafe (m),Hiz (Km/h),Arac Durumu,Algoritma Adı,Düğüm Sayısı,Maliyet, Gerçek Mesafe (m)
21:34:22,Yaya,Algılandı,8.23,50.0,Duruyor,N/A,0,0,0.00
21:34:24,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
21:37:24,Yaya,Algılandı,8.12,50.0,Duruyor,N/A,0,0,0.00
21:37:34,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
21:37:35,Yaya,Algılandı,1.97,50.0,Duruyor,N/A,0,0,0.00
21:37:47,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
21:38:42,Yaya,Algılandı,7.98,100.0,Duruyor,N/A,0,0,0.00
21:38:44,Yaya,Geçiş Tamamlandı,0.00,47.9,Hareket Ediyor,N/A,0,0,0.00
21:38:55,Yaya,Algılandı,5.14,47.9,Duruyor,N/A,0,0,0.00
21:39:06,Yaya,Geçiş Tamamlandı,0.00,47.9,Hareket Ediyor,N/A,0,0,0.00
21:39:09,Yaya,Algılandı,5.14,47.9,Duruyor,N/A,0,0,0.00
21:39:20,Yaya,Geçiş Tamamlandı,0.00,47.9,Hareket Ediyor,N/A,0,0,0.00
21:45:07,,,0.00,0.0,,AStar,0,0,178.25
21:45:45,,,0.00,0.0,,AStar,0,0,177.94
22:32:31,,,0.00,0.0,,UniformCostSearch,532,147140,175.78
22:32:37,Yaya,Algılandı,5.13,100.0,Duruyor,N/A,0,0,0.00
22:32:46,Trafik Işığı Kırmızı,Algılandı,3.31,0.0,Duruyor,N/A,0,0,0.00
22:33:01,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
22:33:08,Yaya,Algılandı,1.41,100.0,Duruyor,N/A,0,0,0.00
22:33:14,Yaya,Geçiş Tamamlandı,0.00,100.0,Hareket Ediyor,N/A,0,0,0.00
22:33:23,Yaya,Algılandı,8.03,100.0,Duruyor,N/A,0,0,0.00
22:33:28,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
22:33:46,Yaya,Algılandı,8.05,100.0,Duruyor,N/A,0,0,0.00
22:33:58,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
22:38:59,,,0.00,0.0,,UniformCostSearch,532,147140,175.78
22:39:05,Yaya,Algılandı,5.64,100.0,Duruyor,N/A,0,0,0.00
22:39:13,Trafik Işığı Kırmızı,Algılandı,3.92,0.0,Duruyor,N/A,0,0,0.00
22:39:44,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
22:39:49,Yaya,Algılandı,7.95,50.0,Duruyor,N/A,0,0,0.00
22:40:00,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
20:35:59,,,0.00,0.0,,UniformCostSearch,522,142520,178.25
20:36:18,Yaya,Algılandı,3.74,100.0,Duruyor,N/A,0,0,0.00
20:36:26,Yaya,Geçiş Tamamlandı,0.00,100.0,Hareket Ediyor,N/A,0,0,0.00
20:36:27,Trafik Işığı Kırmızı,Algılandı,2.90,0.0,Duruyor,N/A,0,0,0.00
20:36:36,Yaya,Algılandı,8.12,100.0,Duruyor,N/A,0,0,0.00
20:36:40,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
20:37:25,,,0.00,0.0,,UniformCostSearch,522,142520,178.25
20:37:35,Trafik Işığı Kırmızı,Algılandı,3.51,100.0,Duruyor,N/A,0,0,0.00
20:39:11,,,0.00,0.0,,UniformCostSearch,522,142520,178.25
20:39:38,Trafik Işığı Kırmızı,Algılandı,8.03,100.0,Duruyor,N/A,0,0,0.00
20:40:10,Yaya,Algılandı,1.51,50.0,Duruyor,N/A,0,0,0.00
20:40:16,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
20:40:38,,,0.00,0.0,,UniformCostSearch,522,142520,178.25
20:40:48,Trafik Işığı Kırmızı,Algılandı,8.18,50.0,Duruyor,N/A,0,0,0.00
20:40:54,Yaya,Algılandı,5.61,0.0,Duruyor,N/A,0,0,0.00
20:40:57,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
20:41:35,Yaya,Algılandı,8.19,50.0,Duruyor,N/A,0,0,0.00
20:41:41,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
20:41:47,Yaya,Algılandı,8.18,100.0,Duruyor,N/A,0,0,0.00
20:41:55,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
22:33:48,,,0.00,0.0,,UniformCostSearch,522,142520,178.25
22:34:16,Trafik Işığı Kırmızı,Algılandı,4.14,100.0,Duruyor,N/A,0,0,0.00
22:34:25,Yaya,Algılandı,8.15,96.5,Duruyor,N/A,0,0,0.00
22:34:31,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
22:34:32,Yaya,Algılandı,2.82,50.4,Duruyor,N/A,0,0,0.00
22:34:38,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
22:34:58,Yaya,Algılandı,8.22,100.0,Duruyor,N/A,0,0,0.00
22:35:01,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:13:34,,,0.00,0.0,,GreedySearch,54,15350,178.25
23:13:45,Trafik Işığı Kırmızı,Algılandı,1.49,57.8,Duruyor,N/A,0,0,0.00
23:14:28,Yaya,Algılandı,2.49,100.0,Duruyor,N/A,0,0,0.00
23:14:28,Yaya,Geçiş Tamamlandı,0.00,97.6,Hareket Ediyor,N/A,0,0,0.00
23:14:28,Yaya,Algılandı,2.08,99.1,Duruyor,N/A,0,0,0.00
23:14:29,Yaya,Geçiş Tamamlandı,0.00,100.0,Hareket Ediyor,N/A,0,0,0.00
23:14:33,Yaya,Algılandı,8.22,100.0,Duruyor,N/A,0,0,0.00
23:14:35,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:16:51,,,0.00,0.0,,GreedySearch,54,15350,178.25
23:17:21,Trafik Işığı Kırmızı,Algılandı,7.78,0.0,Duruyor,N/A,0,0,0.00
23:17:44,,,0.00,0.0,,GreedySearch,54,15350,178.25
23:18:10,Trafik Işığı Kırmızı,Algılandı,7.73,100.0,Duruyor,N/A,0,0,0.00
23:18:25,Yaya,Algılandı,1.90,0.0,Duruyor,N/A,0,0,0.00
23:18:40,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:18:54,Yaya,Algılandı,1.90,0.0,Duruyor,N/A,0,0,0.00
23:18:55,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:18:56,Yaya,Algılandı,1.90,0.0,Duruyor,N/A,0,0,0.00
23:19:01,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:19:15,,,0.00,0.0,,GreedySearch,54,15350,178.25
23:19:25,Trafik Işığı Kırmızı,Algılandı,8.21,50.0,Duruyor,N/A,0,0,0.00
23:19:32,Yaya,Algılandı,5.63,0.0,Duruyor,N/A,0,0,0.00
23:19:33,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:19:54,Yaya,Algılandı,8.11,100.0,Duruyor,N/A,0,0,0.00
23:20:06,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:20:22,Yaya,Algılandı,3.91,0.0,Duruyor,N/A,0,0,0.00
23:20:22,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:20:38,Yaya,Algılandı,3.91,0.0,Duruyor,N/A,0,0,0.00
23:20:38,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:20:39,Yaya,Algılandı,3.91,0.0,Duruyor,N/A,0,0,0.00
23:20:45,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
23:20:56,Yaya,Algılandı,3.91,0.0,Duruyor,N/A,0,0,0.00
23:21:19,,,0.00,0.0,,GreedySearch,54,15350,178.25
23:21:47,Trafik Işığı Kırmızı,Algılandı,2.99,0.0,Duruyor,N/A,0,0,0.00
23:44:14,,,0.00,0.0,,GreedySearch,54,15350,178.25
23:53:05,,,0.00,0.0,,AStar,0,0,178.25
00:01:21,,,0.00,0.0,,UniformCostSearch,522,142520,178.25
00:01:43,,,0.00,0.0,,GreedySearch,54,15350,178.25
00:01:54,Trafik Işığı Kırmızı,Algılandı,3.13,100.0,Duruyor,N/A,0,0,0.00
00:02:53,Yaya,Algılandı,8.22,50.0,Duruyor,N/A,0,0,0.00
00:02:54,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
00:02:56,Yaya,Algılandı,0.05,50.0,Duruyor,N/A,0,0,0.00
00:03:29,,,0.00,0.0,,GreedySearch,54,15350,178.25
00:03:40,Trafik Işığı Kırmızı,Algılandı,3.01,100.0,Duruyor,N/A,0,0,0.00
00:04:22,Yaya,Algılandı,8.22,100.0,Duruyor,N/A,0,0,0.00
00:04:31,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
00:06:44,,,0.00,0.0,,GreedySearch,54,15350,178.25
00:07:14,Trafik Işığı Kırmızı,Algılandı,3.47,41.5,Duruyor,N/A,0,0,0.00
00:08:07,,,0.00,0.0,,GreedySearch,54,15350,178.25
00:08:44,Yaya,Algılandı,8.23,100.0,Duruyor,N/A,0,0,0.00
00:09:37,,,0.00,0.0,,GreedySearch,54,15350,178.25
00:09:47,Trafik Işığı Kırmızı,Algılandı,4.40,100.0,Duruyor,N/A,0,0,0.00
00:10:33,Yaya,Algılandı,8.24,50.0,Duruyor,N/A,0,0,0.00
00:10:40,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
00:10:41,Yaya,Algılandı,0.20,50.0,Duruyor,N/A,0,0,0.00
00:10:43,Yaya,Geçiş Tamamlandı,0.00,50.0,Hareket Ediyor,N/A,0,0,0.00
00:13:25,,,0.00,0.0,,GreedySearch,54,15350,178.25
