Tarih/Saat,Olay Turu,Olay Durumu,Olaya Mesafe (m),Hiz (Km/h),Arac Durumu,Algoritma Adı,Düğüm Sayısı,Maliyet, Gerçek Mesafe (m)
10:48:26,,,0.00,0.0,,GreedySearch,54,15350,178.25
10:48:54,Trafik Işığı Kırmızı,Algılandı,8.07,100.0,Duruyor,N/A,0,0,0.00
11:14:33,,,0.00,0.0,,GreedySearch,54,15350,178.25
11:16:15,,,0.00,0.0,,UniformCostSearch,522,142520,178.25
11:17:40,,,0.00,0.0,,UniformCostSearch,51,142520,178.25
11:23:39,,,0.00,0.0,,AStarSearch,50,0,178.25
11:24:20,,,0.00,0.0,,AStarSearch,50,0,178.25
11:35:02,,,0.00,0.0,,GreedySearch,54,15350,178.25
11:37:22,,,0.00,0.0,,GreedySearch,54,15350,178.25
11:37:39,Trafik Işığı Kırmızı,Algılandı,8.19,100.0,Duruyor,N/A,0,0,0.00
11:40:43,,,0.00,0.0,,GreedySearch,54,15350,178.25
11:41:00,Trafik Işığı Kırmızı,Algılandı,8.07,100.0,Duruyor,N/A,0,0,0.00
11:41:38,Yaya,Algılandı,3.03,50.0,Duruyor,N/A,0,0,0.00
11:41:45,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
11:42:52,,,0.00,0.0,,GreedySearch,54,15350,178.25
11:43:06,Trafik Işığı Kırmızı,Algılandı,8.05,100.0,Duruyor,N/A,0,0,0.00
11:44:35,,,0.00,0.0,,GreedySearch,51,41659248,210.41
11:44:36,Yaya,Algılandı,5.24,100.0,Duruyor,N/A,0,0,0.00
11:44:37,Yaya,Geçiş Tamamlandı,0.00,100.0,Hareket Ediyor,N/A,0,0,0.00
11:46:21,,,0.00,0.0,,GreedySearch,62,28250,275.44
11:46:49,Trafik Işığı Kırmızı,Algılandı,1.79,100.0,Duruyor,N/A,0,0,0.00
11:46:51,Yaya,Algılandı,7.97,100.0,Duruyor,N/A,0,0,0.00
11:46:56,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
11:48:18,,,0.00,0.0,,AStarSearch,62,0,275.44
11:48:33,Trafik Işığı Kırmızı,Algılandı,8.15,50.0,Duruyor,N/A,0,0,0.00
11:50:11,,,0.00,0.0,,UniformCostSearch,63,181070,275.44
11:50:39,Trafik Işığı Kırmızı,Algılandı,7.81,100.0,Duruyor,N/A,0,0,0.00
11:50:49,Yaya,Algılandı,8.10,100.0,Duruyor,N/A,0,0,0.00
11:50:50,Yaya,Geçiş Tamamlandı,0.00,41.7,Hareket Ediyor,N/A,0,0,0.00
11:51:29,,,0.00,0.0,,UniformCostSearch,31,48650,134.41
11:52:09,,,0.00,0.0,,UniformCostSearch,25,26090,111.36
11:52:39,,,0.00,0.0,,UniformCostSearch,21,15920,105.58
11:52:42,Yaya,Algılandı,0.15,100.0,Duruyor,N/A,0,0,0.00
11:53:20,,,0.00,0.0,,AStarSearch,41,0,191.81
11:53:35,Trafik Işığı Kırmızı,Algılandı,8.14,50.0,Duruyor,N/A,0,0,0.00
11:56:56,,,0.00,0.0,,AStarSearch,43,0,197.76
11:57:10,Trafik Işığı Kırmızı,Algılandı,8.15,100.0,Duruyor,N/A,0,0,0.00
11:57:45,,,0.00,0.0,,AStarSearch,43,0,197.76
11:57:55,Trafik Işığı Kırmızı,Algılandı,0.60,70.0,Duruyor,N/A,0,0,0.00
12:26:26,,,0.00,0.0,,UniformCostSearch,79,267170,179.91
12:26:44,Trafik Işığı Kırmızı,Algılandı,8.13,100.0,Duruyor,N/A,0,0,0.00
12:27:08,,,0.00,0.0,,UniformCostSearch,76,234660,53.82
12:27:45,Trafik Işığı Kırmızı,Algılandı,5.62,89.9,Duruyor,N/A,0,0,0.00
12:28:13,,,0.00,0.0,,UniformCostSearch,76,234660,53.82
12:28:25,Yaya,Algılandı,7.52,100.0,Duruyor,N/A,0,0,0.00
12:28:32,Yaya,Geçiş Tamamlandı,0.00,0.0,Hareket Ediyor,N/A,0,0,0.00
12:28:40,Trafik Işığı Kırmızı,Algılandı,7.28,100.0,Duruyor,N/A,0,0,0.00
12:29:13,,,0.00,0.0,,UniformCostSearch,76,234660,53.82
12:29:34,,,0.00,0.0,,UniformCostSearch,76,234180,53.82
12:31:33,Trafik Işığı Kırmızı,Algılandı,8.17,100.0,Duruyor,N/A,0,0,0.00
12:33:10,,,0.00,0.0,,UniformCostSearch,49,42670,152.83
